Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-5119721,Apartment for sale 268 m Smouha (Muruj),"12,060,000 EGP",Smouha,5,3,268,8,Super Lux,Other,2025,Cash or Installments,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5119721-for-sale-alexandria-smouha-Muruj/
EG-5048300,Apartments For sale in Mohammed Fawzi Moaz St.,"3,400,000 EGP",Smouha,3,2,120,5,Super Lux,Other,2005,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5048300-for-sale-alexandria-smouha-mohammed-fawzi-moaz-st/
EG-5117771,Apartment for sale 167 m Smouha (Festival 14 May Road),"5,500,000 EGP",Smouha,3,2,167,7,Super Lux,Other,2019,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5117771-for-sale-alexandria-smouha-15-may-st/
EG-5086685,Apartment for sale 275 m Smouha (Edmond Vermon Street),"13,500,000 EGP",Smouha,3,4,275,11,Extra Super Lux,Main Street,2015,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5086685-for-sale-alexandria-smouha-ademon-fremon-st/
EG-4854308,"Apartment for sale,178m,Smouha (Mostafa Kamel) - price (6,050,000 EGP/cash)","6,050,000 EGP",Smouha,3,2,178,2,Super Lux,Main Street,2004,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/4854308-for-sale-alexandria-smouha-mostafa-kamel-st/
EG-5101787,Apartment for sale 132 m Smouha (Jacaranda - Antoniades),"6,445,000 EGP",Smouha,3,2,132,8,Super Lux,Garden,2024,Cash or Installments,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5101787-for-sale-alexandria-smouha-compounds-in-smouha-antoniadis-city-compound/
EG-5101110,Apartments For sale in Mostafa Kamel St.,"4,200,000 EGP",Smouha,2,2,175,10,Super Lux,Main Street,2003,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5101110-for-sale-alexandria-smouha-mostafa-kamel-st/
EG-5075862,Apartments For sale in Zaki Ragab St.,"5,800,000 EGP",Smouha,3,2,230,12,Extra Super Lux,Main Street,2016,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5075862-for-sale-alexandria-smouha-zaki-ragab-st/
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5109403-projects-ivory-muruj/
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5109380-projects-ivory-muruj/
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5109397-projects-ivory-muruj/
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5109407-projects-ivory-muruj/
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5109366-projects-ivory-muruj/
EG-5106942,وحدة للبيع - سالوجا ايليت ( صواري ) - مساحة 230 متر,"8,624,000 EGP",Smouha,4,4,230,3,Extra Super Lux,Main Street,2027,Installments,Broker,Aura Real Estate,https://aqarmap.com.eg/en/listing/5106942-for-sale-alexandria-smouha-compounds-in-smouha-kmbwnd-slwj/
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5109389-projects-ivory-muruj/
EG-5109226,Apartments For sale in Mohammed Bahaa Al Din Al Ghouri St.,"6,000,000 EGP",Smouha,3,2,200,13,Super Lux,Main Street,2005,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5109226-for-sale-alexandria-smouha-mohammed-bahaa-al-din-al-ghouri-st/
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5109373-projects-ivory-muruj/
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5109359-projects-ivory-muruj/
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5109377-projects-ivory-muruj/
EG-5087390,Apartments For sale in Zaki Ragab St.,"3,600,000 EGP",Smouha,2,2,115,5,Super Lux,Main Street,2015,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5087390-for-sale-alexandria-smouha-zaki-ragab-st/
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5109418-projects-ivory-muruj/
EG-5077459,Apartments For sale in 14th of May St.,"8,800,000 EGP",Smouha,3,2,209,10,Super Lux,Other,2020,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5077459-for-sale-alexandria-smouha-14th-of-may-st/
EG-5056157,Apartments For sale in Mostafa Kamel St.,"5,500,000 EGP",Smouha,4,3,200,13,Super Lux,Main Street,1999,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5056157-for-sale-alexandria-smouha-mostafa-kamel-st/
EG-5065231,Apartments For sale in Albert Al Awal St.,"8,500,000 EGP",Smouha,3,3,270,4,Extra Super Lux,Main Street,2003,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5065231-for-sale-alexandria-smouha-albert-al-awal-st/
EG-5086407,"Apartment for sale 152 m Smouha (Skyline) - 4,121,000 EGP (advance + over)","7,800,000 EGP",Smouha,3,3,152,8,Super Lux,,2026,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5086407-for-sale-alexandria-smouha-compounds-in-smouha-skyline-residence-orouba-misr/
EG-5059862,Apartments For sale in Albert Al Awal St.,"10,000,000 EGP",Smouha,4,3,275,7,Super Lux,Main Street,2006,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5059862-for-sale-alexandria-smouha-albert-al-awal-st/
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5109416-projects-ivory-muruj/
EG-5068819,Apartments For sale in 14th of May St.,"2,600,000 EGP",Smouha,2,1,111,1,Super Lux,Side Street,2000,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5068819-for-sale-alexandria-smouha-14th-of-may-st/
EG-5036580,Apartments For sale in Jara Residence - Hepta,"5,600,000 EGP",Smouha,3,3,184,8,Super Lux,Main Street,2015,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5036580-for-sale-alexandria-smouha-compounds-in-smouha-jara-residence-hepta/
,,,Smouha,,,,,,,,,,,https://aqarmap.com.eg/en/listing/5078463-projects-valore-antoniades/
EG-5070775,Apartments For sale in Ademon Fremon St.,"9,600,000 EGP",Smouha,4,4,275,15,Extra Super Lux,Main Street,2015,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5070775-for-sale-alexandria-smouha-ademon-fremon-st/
EG-5011815,شقة للبيع سموحة (ش. اسماعيل سري) 100 م,"2,500,000 EGP",Smouha,2,1,100,8,Super Lux,Other,1990,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5011815-for-sale-alexandria-smouha-ismail-sari-st/
