,Date,24k,21k,18k
118,2018Q2,738.3199104066531,646.0299216058214,553.7399328049898
119,2018Q3,691.7967431318019,605.3221502403267,518.8475573488514
120,2018Q4,712.8468929005845,623.7410312880114,534.6351696754384
121,2019Q1,739.1354670696223,646.7435336859196,554.3516003022168
122,2019Q2,720.886716928963,630.7758773128426,540.6650376967223
123,2019Q3,783.5098943848762,685.5711575867667,587.6324207886572
124,2019Q4,774.1465322766462,677.3782157420654,580.6098992074847
125,2020Q1,809.3547885822068,708.185440009431,607.0160914366551
126,2020Q2,887.0663001484291,776.1830126298755,665.2997251113219
127,2020Q3,987.4665766446434,864.033254564063,740.5999324834826
128,2020Q4,931.2081705703002,814.8071492490127,698.4061279277252
129,2021Q1,891.884621773541,780.3990440518484,668.9134663301558
130,2021Q2,912.289613709068,798.2534119954345,684.217210281801
131,2021Q3,921.8705290401402,806.6367129101227,691.4028967801052
132,2021Q4,907.6466666666666,794.1908333333333,680.735
133,2022Q1,969.6333333333332,848.4291666666666,727.2249999999999
134,2022Q2,1117.0,977.375,837.75
135,2022Q3,1063.1933333333334,930.2941666666667,797.395
136,2022Q4,1754.745283018868,1535.4021226415093,1316.058962264151
137,2023Q1,2059.9137931034484,1802.4245689655172,1544.9353448275863
138,2023Q2,2684.9101123595506,2349.296348314607,2013.682584269663
139,2023Q3,2512.0054347826085,2198.0047554347825,1884.0040760869565
140,2023Q4,3021.8315217391305,2644.102581521739,2266.373641304348
141,2024Q1,3778.2944444444443,3306.007638888889,2833.7208333333333
142,2024Q2,3580.4333333333334,3132.8791666666666,2685.325
143,2024Q3,3857.875,3375.640625,2893.40625
144,2024Q4,4080.0,3570.0,3060.0
145,2025Q1,4650.54,4069.2225,3487.9049999999997
146,2025Q2,5320.623333333334,4655.545416666667,3990.4675000000007
